id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
43403223,Modern & elegant 1 bedroom downtown Toronto. SH36,12742095,Emil & Sue,,North St.James Town,43.67006,-79.37631,Entire home/apt,102,30,1,2020-06-20,0.17,25,315
43404066,Your Traveling Home in Tonron,39308212,Hugo,,Agincourt North,43.8008,-79.26157,Private room,90,1,0,,,2,0
43404575,Room for rent,203278264,Antonio,,Yorkdale-Glen Park,43.7198,-79.45444,Private room,100,7,0,,,2,363
43406784,One of a kind loft with a rooftop patio. Friendly.,68010462,Omair,,Malvern,43.80789,-79.22074,Private room,60,1,0,,,1,364
43411731,Room #2 Near U of T  with a View,9946512,Marina,,University,43.66085,-79.40699,Private room,38,1,2,2020-09-08,0.58,5,275
43411850,Room 6 Private Room near U of T at Harbord Village,9946512,Marina,,University,43.65971,-79.40579,Private room,55,1,0,,,5,315
43412297,The Artistic elegance suite-No cleaning fee,167034435,Kevin,,Moss Park,43.6604,-79.37289,Private room,169,1,0,,,24,365
43412937,Garden suite- No cleaning Fee,167034435,Kevin,,Moss Park,43.65964,-79.37309,Private room,80,1,0,,,24,316
43413478,Amore - Luxury Executive Condo Bay and College,5988339,Toronto Luxury Suites,,Bay Street Corridor,43.6622,-79.38593,Entire home/apt,190,1,0,,,9,113
43414229,Luxuriously Furnished 1 bed + den Executive Condo,144489937,Christelle & Jon,,Waterfront Communities-The Island,43.64567,-79.37674,Entire home/apt,109,100,0,,,1,358
43415372,1 Bedroom In Jurassic Park Downtown,58117524,Jeffrey Chun-Wai,,Waterfront Communities-The Island,43.64302,-79.38267,Entire home/apt,57,28,3,2020-09-03,0.43,4,60
43415428,[N] Cozy Studio Basement APT Downtown Toronto Core,127699140,Ritchy,,Church-Yonge Corridor,43.65587,-79.37419,Private room,45,1,16,2020-11-23,2.27,16,89
43415460,Executive Monthly Rental w/ CN Tower Balcony View,162811995,Ray,,Waterfront Communities-The Island,43.64093,-79.3998,Entire home/apt,164,16,1,2020-10-11,0.47,2,313
